chunk_id;node_1;node_2;edge
55fba9390d9b40a9b2080b407539097c;mr. dursley;grunnings;Mr. Dursley is the director of Grunnings, a firm that makes drills.
55fba9390d9b40a9b2080b407539097c;dudley;the dursleys;Dudley is the small son of the Dursleys.
55fba9390d9b40a9b2080b407539097c;the dursleys;secret;The Dursleys have a secret, and their greatest fear is that somebody would discover it.
55fba9390d9b40a9b2080b407539097c;the dursleys;mrs. potter's family;The Dursleys' greatest fear is that someone would find out about the Potters.
48e4a5ce2c81495db5523f7dcbc077d6;mr. dursley;mrs. dursley's sister's husband;Mr. Dursley considers Mrs. Dursley's sister's husband as a good-for-nothing person
48e4a5ce2c81495db5523f7dcbc077d6;the dursleys;the potters;The Dursleys want to keep the Potters away due to their unDursleyish nature and the possibility of their son's bad influence on Dudley
48e4a5ce2c81495db5523f7dcbc077d6;the potters' son;dudley;The Potters' son and Dudley have never met
48e4a5ce2c81495db5523f7dcbc077d6;the weather;strange and mysterious things happening all over the country;There is no connection between the dull, gray weather and the strange and mysterious things happening all over the country
48e4a5ce2c81495db5523f7dcbc077d6;large, tawny owl;the events happening all over the country;The large, tawny owl's appearance is a sign of the strange and mysterious things happening all over the country
301738c0377846e784ed8b1b3c46a026;mr. dursley;half past eight;Mr. Dursley picked up his briefcase and left the house at half past eight
301738c0377846e784ed8b1b3c46a026;mr. dursley;car;Mr. Dursley got into his car and backed out of number four's drive
301738c0377846e784ed8b1b3c46a026;cat;map;Mr. Dursley initially thought he saw a cat reading a map
301738c0377846e784ed8b1b3c46a026;cat;mr. dursley;The cat stared back at Mr. Dursley as he drove away
5201307e46a34a59b226337712056aac;mr. dursley;driving;Mr. Dursley is engaged in the action of driving a vehicle
5201307e46a34a59b226337712056aac;mr. dursley;looking at the sign;Mr. Dursley is looking at a sign
5201307e46a34a59b226337712056aac;cat;looking at the sign;The cat is also looking at the sign, though cats can't read maps or signs
5201307e46a34a59b226337712056aac;mr. dursley;thinking of large order of drills;Mr. Dursley is thinking about a large order of drills he hopes to get that day
5201307e46a34a59b226337712056aac;mr. dursley;noticing strange people;Mr. Dursley notices a lot of strangely dressed people about in the morning traffic jam
5201307e46a34a59b226337712056aac;strangely dressed people;whispering excitedly together;The strangely dressed people are whispering excitedly together
5201307e46a34a59b226337712056aac;strangely dressed people;not young;A couple of the strangely dressed people aren't young at all
4bf0d253006d4bb79aea3ded8b287a68;mr. dursley;grunnings parking lot;Mr. Dursley arrived in the Grunnings parking lot after leaving the street where owls were swooping past.
4bf0d253006d4bb79aea3ded8b287a68;mr. dursley;owls;Mr. Dursley did not see the owls swooping past in broad daylight from his office on the ninth floor.
4bf0d253006d4bb79aea3ded8b287a68;people down in the street;owls;People down in the street pointed and gazed open-mouthed as owl after owl sped overhead.
4bf0d253006d4bb79aea3ded8b287a68;mr. dursley;five different people;Mr. Dursley yelled at five different people.
2f27a545789d4b66a01c45b6b84c1bb6;morning;owl-free;describes the time of day, with no owls present
2f27a545789d4b66a01c45b6b84c1bb6;he;five different people;addressed or communicated with
2f27a545789d4b66a01c45b6b84c1bb6;he;several important telephone calls;made or received
2f27a545789d4b66a01c45b6b84c1bb6;he;lunchtime;occurred or took place around this time
2f27a545789d4b66a01c45b6b84c1bb6;he;bakery;visited or intended to visit
2f27a545789d4b66a01c45b6b84c1bb6;people in cloaks;whispering excitedly;engaged in this behavior
2f27a545789d4b66a01c45b6b84c1bb6;people in cloaks;collecting tin;associated with or expected to have this item
2f27a545789d4b66a01c45b6b84c1bb6;mr. dursley;people in cloaks;noticed or paid attention to
2f27a545789d4b66a01c45b6b84c1bb6;mr. dursley;the potters, that's right, that's what i heard yes, their son, harry;overheard or learned about
2f27a545789d4b66a01c45b6b84c1bb6;the potters;son, harry;has a child by this name
2f27a545789d4b66a01c45b6b84c1bb6;mr. dursley;fear;experienced this emotion
d7eace97027c48ffa66d081e8995de2b;secretary;office;The secretary is associated with the office as it is her workplace where she was snapped at by her boss.
d7eace97027c48ffa66d081e8995de2b;secretary;boss;The secretary is associated with her boss as he is the one who snapped at her.
d7eace97027c48ffa66d081e8995de2b;man;home number;The man is associated with the home number as he was about to dial it before changing his mind.
d7eace97027c48ffa66d081e8995de2b;man;nephew;The man is associated with his nephew as he was initially worried about him but then changed his mind.
d7eace97027c48ffa66d081e8995de2b;man;mrs. dursley;The man is associated with Mrs. Dursley as he doesn't want to upset her by mentioning her sister.
d7eace97027c48ffa66d081e8995de2b;man;people in cloaks;The man is associated with the people in cloaks as he finds it hard to concentrate on drills because of them.
d7eace97027c48ffa66d081e8995de2b;man;tiny old man;The man is associated with the tiny old man as he walked into him outside the building.
7873dc4519f8461f8b8d6fcf0737142e;mr. dursley;stranger;Mr. Dursley, the main character, was hugged by a stranger in the context.
7873dc4519f8461f8b8d6fcf0737142e;stranger;violet cloak;The stranger was wearing a violet cloak.
7873dc4519f8461f8b8d6fcf0737142e;stranger;muggle;The stranger called Mr. Dursley a Muggle, which he had never been called before.
7873dc4519f8461f8b8d6fcf0737142e;stranger;happy;The stranger was happy and celebrating because You-Know-Who had gone at last.
2171e130a9bd43c68c02188858261b85;mr. dursley;tabby cat;Mr. Dursley, the main character of the context, sees a tabby cat in his garden, which is unusual for him.
2171e130a9bd43c68c02188858261b85;tabby cat;mr. dursley's garden wall;The tabby cat is sitting on Mr. Dursley's garden wall.
2171e130a9bd43c68c02188858261b85;tabby cat;unusual behavior;The tabby cat is displaying unusual behavior by not moving when Mr. Dursley tells it to.
2171e130a9bd43c68c02188858261b85;mr. dursley;normal behavior;Mr. Dursley is trying to act normally, despite the unusual occurrences.
2171e130a9bd43c68c02188858261b85;mrs. dursley;normal day;Mrs. Dursley had a normal day, in contrast to her husband's unusual experiences.
2171e130a9bd43c68c02188858261b85;mrs. next door;daughter's problems;Mrs. Dursley discussed Mrs. Next Door's problems with her daughter.
2171e130a9bd43c68c02188858261b85;dudley;learning new word;Mrs. Dursley told Mr. Dursley that Dudley had learned a new word, 'Won't!'
2171e130a9bd43c68c02188858261b85;nation's owls;unusual behavior;The nation's owls are behaving unusually, as reported by bird-watchers.
91d8ed7b6f43469fbf8c365937777dce;nation's owls;unusual behavior;The nation's owls have been exhibiting behavior that is not typical for them, such as flying in every direction during the daytime.
91d8ed7b6f43469fbf8c365937777dce;owls;night hunting;Owls typically hunt at night and are hardly ever seen in daylight.
91d8ed7b6f43469fbf8c365937777dce;experts;unable to explain;Experts are currently unable to provide an explanation for the change in the owls' sleeping pattern.
91d8ed7b6f43469fbf8c365937777dce;viewers;downpour of shooting stars;Viewers in various parts of Britain have reported seeing a large number of shooting stars.
91d8ed7b6f43469fbf8c365937777dce;weatherman;promise of rain;The weatherman had previously promised that there would be rain, but it did not occur.
91d8ed7b6f43469fbf8c365937777dce;mr. dursley;frozen in armchair;Mr. Dursley was so surprised by the news that he remained seated and motionless in his armchair.
5e6a39886ae44e48ade45448fc9051ca;mr. dursley;petunia;Mr. Dursley is Petunia's husband
5e6a39886ae44e48ade45448fc9051ca;petunia;mrs. dursley;Petunia is referred to as Mrs. Dursley
5e6a39886ae44e48ade45448fc9051ca;mrs. dursley;sister of petunia;Mrs. Dursley is the sister of Petunia
5e6a39886ae44e48ade45448fc9051ca;sister of petunia;lily potter (implied);The sister of Petunia is Lily Potter
5e6a39886ae44e48ade45448fc9051ca;mr. dursley;heard the name 'potter';Mr. Dursley has heard the name 'Potter'
5e6a39886ae44e48ade45448fc9051ca;'potter';sister of petunia;The name 'Potter' is related to Petunia's sister
de8390d2666c4b31ab146f95461b7042;mr. dursley;dudley's age;Mr. Dursley is related to Dudley in terms of being his father, and he is comparing the age of Dudley with that of 'their son'
