node_1;node_2;chunk_id;count;edge
'potter';mr. dursley;5e6a39886ae44e48ade45448fc9051ca,5e6a39886ae44e48ade45448fc9051ca;2;contextual proximity
'potter';mrs. dursley;5e6a39886ae44e48ade45448fc9051ca,5e6a39886ae44e48ade45448fc9051ca;2;contextual proximity
'potter';petunia;5e6a39886ae44e48ade45448fc9051ca,5e6a39886ae44e48ade45448fc9051ca;2;contextual proximity
'potter';sister of petunia;5e6a39886ae44e48ade45448fc9051ca,5e6a39886ae44e48ade45448fc9051ca,5e6a39886ae44e48ade45448fc9051ca;3;contextual proximity
a piercing stare;are dead;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
a piercing stare;could not kill harry potter;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
a piercing stare;dumbledore;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
a piercing stare;go to find the potters;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
a piercing stare;hermione;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;4;contextual proximity
a piercing stare;lily and james potter;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
a piercing stare;not believe the rumor;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
a piercing stare;the reason behind harry's survival;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
a piercing stare;try to kill the potter's son, harry;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
a piercing stare;turn up in godric's hollow;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
a piercing stare;unknown;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;2;contextual proximity
a piercing stare;voldemort;26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446,26c5b0d9c07d41e7baccd8e596c93446;8;contextual proximity
